url,district,subdistrict,category,unit_desc,address,price_raw,price_hkd,price_per_sqft,size_sqft,bedrooms,bathrooms,posted,source_page
https://www.squarefoot.com.hk/en/buy/apartment/property-86929,Hong Kong Island,,Western Mid-levels Realty Gardens,,No.41 Conduit Road,Sell HKD$26.5 Millions,26500000,22727,1166,3,2,22 hours ago posted,https://www.squarefoot.com.hk/en/buy/a1
https://www.squarefoot.com.hk/en/buy/apartment/property-87580,Hong Kong Island,,Tai Tam The Redhill Peninsula Room 4,Room 4,No.18 Pak Pat Shan Road,Sell HKD$33 Millions,33000000,20952,1575,3,2,22 hours ago posted,https://www.squarefoot.com.hk/en/buy/a1
https://www.squarefoot.com.hk/en/buy/apartment/property-92623,Hong Kong Island,,Western Mid-levels 7 Lyttelton Road,,7 Lyttelton Road,Sell HKD$40 Millions,40000000,22259,1797,3,2,22 hours ago posted,https://www.squarefoot.com.hk/en/buy/a1
https://www.squarefoot.com.hk/en/buy/apartment/property-97281,Hong Kong Island,,The Peak Mountain View Full-Layer Duplex,Full-Layer Duplex,No.23 Plantation Road,Sell HKD$138 Millions,138000000,44231,3120,5plus,4,,https://www.squarefoot.com.hk/en/buy/a1
https://www.squarefoot.com.hk/en/buy/apartment/property-48374,Hong Kong Island,,The Peak Orient Crest,,Peak Road,Sell HKD$148 Millions,148000000,47014,3148,4,3,15 hours ago posted,https://www.squarefoot.com.hk/en/buy/a1
https://www.squarefoot.com.hk/en/buy/apartment/property-90426,Hong Kong Island,,"Stanley One Stanley Flat B, High Floor,  5","Flat B, High Floor,  5",128 Wong Ma Kok Road,Sell HKD$67.55 Millions,67550000,35201,1919,4,4,,https://www.squarefoot.com.hk/en/buy/a1
https://www.squarefoot.com.hk/en/buy/apartment/property-76048,Hong Kong Island,,"Stanley One Stanley Block 5, High Floor","Block 5, High Floor",128 Wong Ma Kok Road,Sell HKD$67.55 Millions,67550000,35201,1919,4,4,,https://www.squarefoot.com.hk/en/buy/a1
https://www.squarefoot.com.hk/en/buy/apartment/property-78102,Hong Kong Island,,Western Mid-levels Realty Gardens,,"41 Conduit Road, Mid-levels West",Sell HKD$24.5 Millions,24500000,21012,1166,3,2,24 hours ago posted,https://www.squarefoot.com.hk/en/buy/a1
https://www.squarefoot.com.hk/en/buy/apartment/property-94820,Hong Kong Island,,The Peak Strawberry Hill,,8 Plunkett's Road,Sell HKD$160 Millions,160000000,50078,3195,3,,11 minutes ago posted,https://www.squarefoot.com.hk/en/buy/a1
https://www.squarefoot.com.hk/en/buy/apartment/property-26899,Hong Kong Island,,Pok Fu Lam Y. Y. Mansions Room C,Room C,96 Pok Fu Lam Road,Sell HKD$19 Millions,19000000,18411,1032,3,3,,https://www.squarefoot.com.hk/en/buy/a1
https://www.squarefoot.com.hk/en/buy/apartment/property-96481,Hong Kong Island,,Repulse Bay Celestial Garden,,"5 Repulse Bay Road, Repulse Bay",Sell HKD$160 Millions,160000000,40764,3925,5plus,5plus,,https://www.squarefoot.com.hk/en/buy/a1/page-2
https://www.squarefoot.com.hk/en/buy/apartment/property-97290,Hong Kong Island,,"Quarry Bay Splendid Place Unit F,High Floor","Unit F,High Floor",No.39 Taikoo Shing Road,Sell HKD$8.8 Millions,8800000,19512,451,2,1,,https://www.squarefoot.com.hk/en/buy/a1/page-2
https://www.squarefoot.com.hk/en/buy/apartment/property-48338,Hong Kong Island,,Southern District Residence Bel-Air High Floor,High Floor,68 Bel-air Peak Avenue,Sell HKD$29 Millions,29000000,27885,1040,3,3,15 hours ago posted,https://www.squarefoot.com.hk/en/buy/a1/page-2
https://www.squarefoot.com.hk/en/buy/apartment/property-26906,Hong Kong Island,,Western Mid-levels Realty Gardens,,No.41 Conduit Road,Sell HKD$30 Millions,30000000,25729,1166,3,2,,https://www.squarefoot.com.hk/en/buy/a1/page-2
https://www.squarefoot.com.hk/en/buy/apartment/property-79689,Hong Kong Island,,Happy Valley Race View Apartments,,"31-35 Wong Nai Chung Road / 1a Sing Woo Road, Happy Valley",Sell HKD$14.8 Millions,14800000,13716,1079,4,1,24 hours ago posted,https://www.squarefoot.com.hk/en/buy/a1/page-2
https://www.squarefoot.com.hk/en/buy/apartment/property-86152,Hong Kong Island,,"The Peak La Hacienda Tower B, Middle Floor","Tower B, Middle Floor",Nos.31-33 Mount Kellett Road,Sell HKD$65 Millions,65000000,24593,2643,2,3,,https://www.squarefoot.com.hk/en/buy/a1/page-2
https://www.squarefoot.com.hk/en/buy/apartment/property-94821,Hong Kong Island,,Mid-levels Central May Tower,,7 May Road,Sell HKD$75 Millions,75000000,32924,2278,3,,11 minutes ago posted,https://www.squarefoot.com.hk/en/buy/a1/page-2
https://www.squarefoot.com.hk/en/buy/apartment/property-91330,Hong Kong Island,,"Stanley One Stanley Unit B, High Floor, Tower 1","Unit B, High Floor, Tower 1",128 Wong Ma Kok Road,Sell HKD$70.38 Millions,70380000,36867,1909,4,4,,https://www.squarefoot.com.hk/en/buy/a1/page-2
https://www.squarefoot.com.hk/en/buy/apartment/property-96479,Hong Kong Island,,Mid-levels Central Fairlane Tower,,"2b Bowen Road, Mid-levels Central",Sell HKD$90 Millions,90000000,54315,1657,3,2,,https://www.squarefoot.com.hk/en/buy/a1/page-2
https://www.squarefoot.com.hk/en/buy/apartment/property-47128,Hong Kong Island,,"Taikoo Shing Unit F, High Floor, Hing On, On Shing Terrace","Unit F, High Floor, Hing On, On Shing Terrace","monthly repayment: HKD$26,555",Sell HKD$8 Millions,8000000,15810,506,2,1,,https://www.squarefoot.com.hk/en/buy/a1/page-2
